Shop,Type,price,dateAcquired,notes
Solly's Pet Store,Giant Schnauzer,176.43,07/07/2010,none
The Menagerie,Neapolitan Mastiff,293.73,29/08/2010,none
Obsborne Road Pet Store,Basenji,224.27,13/10/2010,none
Pets on the Tyne,Belgian Sheepdog,143.19,03/03/2010,none
Jill's Pet Store,Anatolian Shepherd Dog,381.15,17/12/2010,none
Petsmart,Belgian Tervuren,240,26/11/2010,none
Petsmart,Dandie Dinmont Terrier,149.26,10/01/2010,none
The Menagerie,Yorkshire Terrier,262.92,29/10/2010,none
Gateshead Pets,Greyhound,393.44,01/05/2010,none
Galley Pets,Shikoku,226.48,25/06/2010,none
Byker Pets Shop,Alaskan Klee Kai,244.54,13/08/2010,none
Galley Pets,Bedlington Terrier,300.57,01/11/2010,none
Meltham Pets,Plott,240.44,09/10/2010,none
Preston Pets,Basset Hound,274.52,06/06/2010,none
The Briar Patch Pet Store,Chow Chow,235.97,18/05/2010,none
Pets on the Tyne,Norfolk Terrier,326.98,07/06/2010,none
Martin Way Mutts,Bernese Mountain Dog,371.96,26/11/2010,none
The Briar Patch Pet Store,Standard Schnauzer,191.4,18/12/2010,none
Sannox Pets,Spinone Italiano,189.28,15/02/2010,none
The Briar Patch Pet Store,Canary Dog,118.31,13/08/2010,none
Preston Pets,Bulldog,141.89,14/08/2010,none
Anything Except Badgers,Mastiff,381,28/01/2010,none
Obsborne Road Pet Store,Greater Swiss Mountain Dog,389.46,28/12/2010,none
Byker Pets Shop,Briard,312.66,16/07/2010,none
Daffyd's Pet Shop,Norwich Terrier,334.16,16/03/2010,none
Preston Pets,Rhodesian Ridgeback,231.68,24/09/2010,Be sure to tell clients how BIG this dog actually is
Anything Except Badgers,Miniature Pinscher,388.42,27/03/2010,none
Morris Pets and Supplies,Welsh Terrier,213.09,10/05/2010,none
Daffyd's Pet Shop,Thai Ridgeback,326.73,23/03/2010,none
The Menagerie,Cavalier King Charles Spaniel,356.81,22/05/2010,none
Potters Pets,Irish Water Spaniel,290.57,10/03/2010,none
Jill's Pet Store,Leonberger,359.75,09/05/2010,none
The Menagerie,Skye Terrier,266.86,07/08/2010,none
Obsborne Road Pet Store,Alsatian,274.93,08/08/2010,none
Byker Pets Shop,Beauceron,199.83,08/04/2010,none
The Briar Patch Pet Store,Tibetan Terrier,233.38,10/02/2010,none
Clevedon Pets,English Foxhound,207.49,18/12/2010,none
Gateshead Pets,French Bulldog,195.69,01/10/2010,none
Galley Pets,American Staffordshire Terrier,332.7,11/08/2010,none
The Briar Patch Pet Store,Keeshond,224.76,27/04/2010,none
Harris' Pets and More,Boerboel,184.31,29/04/2010,none
Clevedon Pets,Jack Russell Terrier,216.6,09/08/2010,none
Harris' Pets and More,Canary Dog,289.92,28/11/2010,none
Anything Except Badgers,Hovawart,258.63,03/11/2010,none
Preston Pets,Tibetan Terrier,358.67,25/05/2010,none
Clevedon Pets,Airedale Terrier,216.36,18/04/2010,none
The Briar Patch Pet Store,Basset Hound,250.12,08/08/2010,none
Daffyd's Pet Shop,English Toy Spaniel,384.72,10/01/2010,none
Anything Except Badgers,Saint Bernard,107.27,03/08/2010,none
Jill's Pet Store,Australian Terrier,361.44,21/08/2010,none
Preston Pets,Borzoi,312.66,28/11/2010,none
Potters Pets,American Eskimo Dog,160.47,24/02/2010,none
Meltham Pets,Shetland Sheepdog,395.51,23/11/2010,none
Anything Except Badgers,Collie,317.18,06/05/2010,none
Martin Way Mutts,Sussex Spaniel,260.09,06/10/2010,none
Daffyd's Pet Shop,Havanese,188.08,25/03/2010,none
Jill's Pet Store,Greyhound,253.46,15/11/2010,none
